event_id,event_date,matchup_id,fighter_a,fighter_b,price_a,price_b,n_books_a,n_books_b,market_prob_a,market_prob_b,weight_class
934,2018-10-13,4320,Craig Glover,Simon Vallily,150,-200,1,1,0.375,0.625,
934,2018-10-13,4302,Glenn Foot,Robbie Davies Jnr,200,-278,1,1,0.3118811881188118,0.6881188118811881,
934,2018-10-13,4255,Francesco Patera,Lewis Ritson,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
934,2018-10-13,4128,Mikhail Aloyan,Zolani Tete,350,-500,1,1,0.21052631578947367,0.7894736842105263,
934,2018-10-13,4313,Liam Paro,Robert Tlatlik,-625,350,1,1,0.795053003533569,0.2049469964664311,
934,2018-10-13,4317,Anthony Fowler,Gabor Gorbics,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
934,2018-10-13,4269,Andrew Tabiti,Ruslan Fayfer,-625,400,1,1,0.8116883116883117,0.18831168831168835,
934,2018-10-13,4316,Joshua Buatsi,Tony Averlant,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
934,2018-10-13,4319,David Allen,Samir Nebo,-2500,800,1,1,0.8964143426294822,0.10358565737051792,
934,2018-10-13,4315,Lee McGregor,Thomas Essomba,-1000,550,1,1,0.8552631578947368,0.14473684210526316,
934,2018-10-13,4314,Martin Bakole Ilunga,Michael Hunter,-200,150,1,1,0.625,0.375,
934,2018-10-13,4318,Shakur Stevenson,Viorel Simion,-2000,800,1,1,0.8955223880597014,0.1044776119402985,
934,2018-10-13,4287,Jose Benavidez Jr,Terence Crawford,1000,-2500,1,1,0.08637873754152824,0.9136212624584718,
911,2018-10-20,4339,Michael Conlan,Nicola Cipolletta,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
911,2018-10-20,4327,Bradley Skeete,Fernando Valencia,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
911,2018-10-20,4326,Anthony Yarde,Walter Gabriel Sequeira,-5000,1100,1,1,0.9216589861751152,0.07834101382488479,
911,2018-10-20,4325,Gary Corcoran,Johnny Garton,-278,200,1,1,0.6881188118811881,0.3118811881188118,
911,2018-10-20,4324,Mario Briones,Scott Quigg,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
911,2018-10-20,4321,Demetrius Andrade,Walter Kautondowka,-1667,800,1,1,0.8946332737030412,0.10536672629695885,
911,2018-10-20,4311,Cindy Serrano,Katie Taylor,900,-3333,1,1,0.09338193292168756,0.9066180670783124,
911,2018-10-20,4312,Kid Galahad,Toka Kahn Clary,-333,240,1,1,0.7233580373115257,0.27664196268847435,
911,2018-10-20,4121,Emmanuel Rodriguez,Jason Moloney,-833,450,1,1,0.8308096835615196,0.16919031643848037,
911,2018-10-20,4331,Lucien Reid,Rafael Castillo,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
911,2018-10-20,4328,Arsen Goulamirian,Mark Flanagan,-1250,600,1,1,0.8663366336633663,0.13366336633663364,
911,2018-10-20,4270,Mateusz Masternak,Yunior Dorticos,450,-833,1,1,0.16919031643848037,0.8308096835615196,
911,2018-10-20,4290,James Tennyson,Tevin Farmer,240,-333,1,1,0.27664196268847435,0.7233580373115257,
911,2018-10-20,4329,Rob Brant,Ryota Murata,450,-833,1,1,0.16919031643848037,0.8308096835615196,
910,2018-10-21,4323,Ryan Kielczweski,Tommy Coyle,175,-250,1,1,0.3373493975903614,0.6626506024096386,
946,2018-10-26,4355,Fadhili Majiha,Neslan Machado,450,-833,1,1,0.16919031643848037,0.8308096835615196,
946,2018-10-26,4354,Michael McKinson,Sammy McNess,-278,200,1,1,0.6881188118811881,0.3118811881188118,
946,2018-10-26,4353,Ryan Farrag,Sunny Edwards,350,-625,1,1,0.2049469964664311,0.795053003533569,
931,2018-10-27,4352,Bogdan Dinu,Tom Little,-2500,800,1,1,0.8964143426294822,0.10358565737051792,
931,2018-10-27,4348,Leonardo Damian Bruzzese,Tervel Pulev,900,-3333,1,1,0.09338193292168756,0.9066180670783124,
