event_id,event_date,fighter_a,fighter_b,winner,method,round
934,2018-10-13,Craig Glover,Simon Vallily,,,
934,2018-10-13,Glenn Foot,Robbie Davies Jnr,,,
934,2018-10-13,Francesco Patera,Lewis Ritson,,,
934,2018-10-13,Mikhail Aloyan,Zolani Tete,,,
934,2018-10-13,Liam Paro,Robert Tlatlik,,,
934,2018-10-13,Anthony Fowler,Gabor Gorbics,,,
934,2018-10-13,Andrew Tabiti,Ruslan Fayfer,,,
934,2018-10-13,Joshua Buatsi,Tony Averlant,,,
934,2018-10-13,David Allen,Samir Nebo,,,
934,2018-10-13,Lee McGregor,Thomas Essomba,,,
934,2018-10-13,Martin Bakole Ilunga,Michael Hunter,,,
934,2018-10-13,Shakur Stevenson,Viorel Simion,,,
934,2018-10-13,Jose Benavidez Jr,Terence Crawford,,,
911,2018-10-20,Michael Conlan,Nicola Cipolletta,,,
911,2018-10-20,Bradley Skeete,Fernando Valencia,,,
911,2018-10-20,Anthony Yarde,Walter Gabriel Sequeira,,,
911,2018-10-20,Gary Corcoran,Johnny Garton,,,
911,2018-10-20,Mario Briones,Scott Quigg,,,
911,2018-10-20,Demetrius Andrade,Walter Kautondowka,,,
911,2018-10-20,Cindy Serrano,Katie Taylor,,,
911,2018-10-20,Kid Galahad,Toka Kahn Clary,,,
911,2018-10-20,Emmanuel Rodriguez,Jason Moloney,,,
911,2018-10-20,Lucien Reid,Rafael Castillo,,,
911,2018-10-20,Arsen Goulamirian,Mark Flanagan,,,
911,2018-10-20,Mateusz Masternak,Yunior Dorticos,,,
911,2018-10-20,James Tennyson,Tevin Farmer,,,
911,2018-10-20,Rob Brant,Ryota Murata,,,
910,2018-10-21,Ryan Kielczweski,Tommy Coyle,,,
946,2018-10-26,Fadhili Majiha,Neslan Machado,,,
946,2018-10-26,Michael McKinson,Sammy McNess,,,
946,2018-10-26,Ryan Farrag,Sunny Edwards,,,
931,2018-10-27,Bogdan Dinu,Tom Little,,,
931,2018-10-27,Leonardo Damian Bruzzese,Tervel Pulev,,,
931,2018-10-27,Savannah Marshall,Yanina Orozco,,,
931,2018-10-27,Alberto Machado,Yuandale Evans,,,
931,2018-10-27,Asinia Byfield,Ted Cheeseman,,,
931,2018-10-27,Jordan Gill,Ryan Doyle,,,
931,2018-10-27,Isaac Chamberlain,Luke Watkins,,,
931,2018-10-27,Felix Cash,Stephen Danyo,,,
