boxer_id,name,wiki_url,norm,pbo_appearances
Daniel_Dubois_(boxer),Daniel Dubois,https://en.wikipedia.org/wiki/Daniel_Dubois_(boxer),daniel dubois,20
Moses_Itauma,Moses Itauma,https://en.wikipedia.org/wiki/Moses_Itauma,moses itauma,20
Liam_Wilson,Liam Wilson,https://en.wikipedia.org/wiki/Liam_Wilson,liam wilson,19
Kieron_Conway,Kieron Conway,https://en.wikipedia.org/wiki/Kieron_Conway,kieron conway,19
David_Adeleye,David Adeleye,https://en.wikipedia.org/wiki/David_Adeleye,david adeleye,19
Shakur_Stevenson,Shakur Stevenson,https://en.wikipedia.org/wiki/Shakur_Stevenson,shakur stevenson,18
Joseph_Parker_(boxer),Joseph Parker,https://en.wikipedia.org/wiki/Joseph_Parker_(boxer),joseph parker,18
Tim_Tszyu,Tim Tszyu,https://en.wikipedia.org/wiki/Tim_Tszyu,tim tszyu,18
Richard_Torrez_Jr,Richard Torrez Jr,https://en.wikipedia.org/wiki/Richard_Torrez_Jr,richard torrez,18
Katie_Taylor,Katie Taylor,https://en.wikipedia.org/wiki/Katie_Taylor,katie taylor,17
Amanda_Serrano,Amanda Serrano,https://en.wikipedia.org/wiki/Amanda_Serrano,amanda serrano,17
Fabio_Wardley,Fabio Wardley,https://en.wikipedia.org/wiki/Fabio_Wardley,fabio wardley,17
Anthony_Joshua,Anthony Joshua,https://en.wikipedia.org/wiki/Anthony_Joshua,anthony joshua,17
Sam_Goodman_(boxer),Sam Goodman,https://en.wikipedia.org/wiki/Sam_Goodman_(boxer),sam goodman,17
Jared_Anderson,Jared Anderson,https://en.wikipedia.org/wiki/Jared_Anderson,jared anderson,17
Vito_Mielnicki_Jr,Vito Mielnicki Jr,https://en.wikipedia.org/wiki/Vito_Mielnicki_Jr,vito mielnicki,17
Keyshawn_Davis,Keyshawn Davis,https://en.wikipedia.org/wiki/Keyshawn_Davis,keyshawn davis,17
Delante_Johnson,Delante Johnson,https://en.wikipedia.org/wiki/Delante_Johnson,delante johnson,17
Skye_Nicolson,Skye Nicolson,https://en.wikipedia.org/wiki/Skye_Nicolson,skye nicolson,17
Emanuel_Navarrete,Emanuel Navarrete,https://en.wikipedia.org/wiki/Emanuel_Navarrete,emanuel navarrete,16
Teofimo_Lopez,Teófimo López,https://en.wikipedia.org/wiki/Teofimo_Lopez,teofimo lopez,16
Devin_Haney,Devin Haney,https://en.wikipedia.org/wiki/Devin_Haney,devin haney,16
Mikaela_Mayer,Mikaela Mayer,https://en.wikipedia.org/wiki/Mikaela_Mayer,mikaela mayer,16
Steve_Claggett,Steve Claggett,https://en.wikipedia.org/wiki/Steve_Claggett,steve claggett,16
Naoya_Inoue,Naoya Inoue,https://en.wikipedia.org/wiki/Naoya_Inoue,naoya inoue,16
Raymond_Ford_(boxer),Raymond Ford,https://en.wikipedia.org/wiki/Raymond_Ford_(boxer),raymond ford,16
Jake_Paul,Jake Paul,https://en.wikipedia.org/wiki/Jake_Paul,jake paul,16
Campbell_Hatton,Campbell Hatton,https://en.wikipedia.org/wiki/Campbell_Hatton,campbell hatton,16
Bakhodir_Jalolov,Bakhodir Jalolov,https://en.wikipedia.org/wiki/Bakhodir_Jalolov,bakhodir jalolov,16
Caroline_Dubois,Caroline Dubois,https://en.wikipedia.org/wiki/Caroline_Dubois,caroline dubois,16
Frazer_Clarke,Frazer Clarke,https://en.wikipedia.org/wiki/Frazer_Clarke,frazer clarke,16
Beatriz_Ferreira,Beatriz Ferreira,https://en.wikipedia.org/wiki/Beatriz_Ferreira,beatriz ferreira,16
Michael_Conlan,Michael Conlan,https://en.wikipedia.org/wiki/Michael_Conlan,michael conlan,15
Josh_Kelly_(boxer),Josh Kelly,https://en.wikipedia.org/wiki/Josh_Kelly_(boxer),josh kelly,15
Tyrone_McKenna,Tyrone McKenna,https://en.wikipedia.org/wiki/Tyrone_McKenna,tyrone mckenna,15
Joe_Joyce_(boxer),Joe Joyce,https://en.wikipedia.org/wiki/Joe_Joyce_(boxer),joe joyce,15
Lindolfo_Delgado,Lindolfo Delgado,https://en.wikipedia.org/wiki/Lindolfo_Delgado,lindolfo delgado,15
Lawrence_Okolie,Lawrence Okolie,https://en.wikipedia.org/wiki/Lawrence_Okolie,lawrence okolie,15
Joseph_Diaz,Joseph Diaz,https://en.wikipedia.org/wiki/Joseph_Diaz,joseph diaz,15
Jaime_Munguía,Jaime Munguia,https://en.wikipedia.org/wiki/Jaime_Munguía,jaime munguia,15
Edgar_Berlanga,Edgar Berlanga,https://en.wikipedia.org/wiki/Edgar_Berlanga,edgar berlanga,15
Sean_McComb,Sean McComb,https://en.wikipedia.org/wiki/Sean_McComb,sean mccomb,15
Lyndon_Arthur,Lyndon Arthur,https://en.wikipedia.org/wiki/Lyndon_Arthur,lyndon arthur,15
Sebastian_Fundora,Sebastian Fundora,https://en.wikipedia.org/wiki/Sebastian_Fundora,sebastian fundora,15
Dan_Azeez,Dan Azeez,https://en.wikipedia.org/wiki/Dan_Azeez,dan azeez,15
Diego_Pacheco,Diego Pacheco,https://en.wikipedia.org/wiki/Diego_Pacheco,diego pacheco,15
Sam_Noakes,Sam Noakes,https://en.wikipedia.org/wiki/Sam_Noakes,sam noakes,15
Johnny_Fisher_(boxer),Johnny Fisher,https://en.wikipedia.org/wiki/Johnny_Fisher_(boxer),johnny fisher,15
Galal_Yafai,Galal Yafai,https://en.wikipedia.org/wiki/Galal_Yafai,galal yafai,15
Adam_Azim,Adam Azim,https://en.wikipedia.org/wiki/Adam_Azim,adam azim,15
Abdullah_Mason,Abdullah Mason,https://en.wikipedia.org/wiki/Abdullah_Mason,abdullah mason,15
Joshua_Buatsi,Joshua Buatsi,https://en.wikipedia.org/wiki/Joshua_Buatsi,joshua buatsi,14
David_Allen,David Allen,https://en.wikipedia.org/wiki/David_Allen,david allen,14
Anthony_Yarde,Anthony Yarde,https://en.wikipedia.org/wiki/Anthony_Yarde,anthony yarde,14
Sunny_Edwards,Sunny Edwards,https://en.wikipedia.org/wiki/Sunny_Edwards,sunny edwards,14
Zach_Parker,Zach Parker,https://en.wikipedia.org/wiki/Zach_Parker,zach parker,14
Oleksandr_Usyk,Oleksandr Usyk,https://en.wikipedia.org/wiki/Oleksandr_Usyk,oleksandr usyk,14
Reece_Bellotti,Reece Bellotti,https://en.wikipedia.org/wiki/Reece_Bellotti,reece bellotti,14
Efe_Ajagba,Efe Ajagba,https://en.wikipedia.org/wiki/Efe_Ajagba,efe ajagba,14
Christian_Mbilli,Christian Mbilli,https://en.wikipedia.org/wiki/Christian_Mbilli,christian mbilli,14
Alexis_Rocha,Alexis Rocha,https://en.wikipedia.org/wiki/Alexis_Rocha,alexis rocha,14
Terri_Harper,Terri Harper,https://en.wikipedia.org/wiki/Terri_Harper,terri harper,14
Troy_Williamson,Troy Williamson,https://en.wikipedia.org/wiki/Troy_Williamson,troy williamson,14
