fight_date,boxer_a,boxer_b,winner,method,round,weight_class,location,source_url
19 Jul 2025,Oleksandr Usyk,Daniel Dubois,Oleksandr Usyk,ko,5,,"Wembley Stadium , London, England",
21 Dec 2024,Oleksandr Usyk,Tyson Fury,Oleksandr Usyk,decision_unanimous,12,,"Kingdom Arena, Riyadh, Saudi Arabia",
18 May 2024,Oleksandr Usyk,Tyson Fury,Oleksandr Usyk,decision_split,12,,"Kingdom Arena , Riyadh , Saudi Arabia",
26 Aug 2023,Oleksandr Usyk,Daniel Dubois,Oleksandr Usyk,ko,9,,"Wrocław Stadium , Wrocław , Poland",
20 Aug 2022,Oleksandr Usyk,Anthony Joshua,Oleksandr Usyk,decision_split,12,,"King Abdullah Sports City , Jeddah , Saudi Arabia",
25 Sep 2021,Oleksandr Usyk,Anthony Joshua,Oleksandr Usyk,decision_unanimous,12,,"Tottenham Hotspur Stadium , London, England",
31 Oct 2020,Oleksandr Usyk,Derek Chisora,Oleksandr Usyk,decision_unanimous,12,,"Wembley Arena , London , England",
12 Oct 2019,Oleksandr Usyk,Chazz Witherspoon,Oleksandr Usyk,tko_corner,7,,"Wintrust Arena , Chicago, Illinois , US",
10 Nov 2018,Oleksandr Usyk,Tony Bellew,Oleksandr Usyk,ko,8,,"Manchester Arena , Manchester , England",
21 Jul 2018,Oleksandr Usyk,Murat Gassiev,Oleksandr Usyk,decision_unanimous,12,,"Olympic Stadium , Moscow , Russia",
27 Jan 2018,Oleksandr Usyk,Mairis Briedis,Oleksandr Usyk,decision_majority,12,,"Arēna Rīga , Riga , Latvia",
9 Sep 2017,Oleksandr Usyk,Marco Huck,Oleksandr Usyk,tko,10,,"Max-Schmeling-Halle , Berlin , Germany",
8 Apr 2017,Oleksandr Usyk,Michael Hunter,Oleksandr Usyk,decision_unanimous,12,,"MGM National Harbor , Oxon Hill, Maryland , US",
17 Dec 2016,Oleksandr Usyk,Thabiso Mchunu,Oleksandr Usyk,tko,9,,"The Forum , Inglewood, California , US",
17 Sep 2016,Oleksandr Usyk,Krzysztof Głowacki,Oleksandr Usyk,decision_unanimous,12,,"Ergo Arena , Gdańsk , Poland",
12 Dec 2015,Oleksandr Usyk,Pedro Rodriguez,Oleksandr Usyk,tko,7,,"Palace of Sports, Kyiv, Ukraine",
29 Aug 2015,Oleksandr Usyk,Johnny Muller,Oleksandr Usyk,tko,3,,"Palace of Sports, Kyiv, Ukraine",
18 Apr 2015,Oleksandr Usyk,Andrey Knyazev,Oleksandr Usyk,tko,8,,"Palace of Sports, Kyiv, Ukraine",
13 Dec 2014,Oleksandr Usyk,Danie Venter,Oleksandr Usyk,tko,9,,"Palace of Sports, Kyiv, Ukraine",
4 Oct 2014,Oleksandr Usyk,Daniel Bruwer,Oleksandr Usyk,tko,7,,"Arena Lviv , Lviv , Ukraine",
31 May 2014,Oleksandr Usyk,Cesar David Crenz,Oleksandr Usyk,ko,4,,"Sports Palace, Odesa , Ukraine",
26 Apr 2014,Oleksandr Usyk,Ben Nsafoah,Oleksandr Usyk,ko,3,,"König Pilsener Arena , Oberhausen , Germany",
7 Dec 2013,Oleksandr Usyk,Epifanio Mendoza,Oleksandr Usyk,tko,4,,"Ice Arena TEC Terminal, Brovary , Ukraine",
9 Nov 2013,Oleksandr Usyk,Felipe Romero,Oleksandr Usyk,tko,5,,"Palace of Sports , Kyiv , Ukraine",
25 Oct 2025,Fabio Wardley,Joseph Parker,Fabio Wardley,tko,11,,"The O2 Arena, London, England",
7 Jun 2025,Fabio Wardley,Justis Huni,Fabio Wardley,ko,10,,"Portman Road , Ipswich , England",
12 Oct 2024,Fabio Wardley,Frazer Clarke,Fabio Wardley,tko,1,,"Kingdom Arena , Riyadh, Saudi Arabia",
31 Mar 2024,Fabio Wardley,Frazer Clarke,,decision_split,12,,"The O2 Arena, London, England",
28 Oct 2023,Fabio Wardley,David Adeleye,Fabio Wardley,tko,7,,"Boulevard Hall, Riyadh , Saudi Arabia",
1 Apr 2023,Fabio Wardley,Michael Polite Coffie,Fabio Wardley,tko,4,,"The O2 Arena, London, England",
26 Nov 2022,Fabio Wardley,Nathan Gorman,Fabio Wardley,tko,3,,"Wembley Arena, London, England",
9 Jul 2022,Fabio Wardley,Chris Healey,Fabio Wardley,tko,2,,"The O2 Arena, London, England",
27 Feb 2022,Fabio Wardley,Daniel Martz,Fabio Wardley,ko,2,,"The O2 Arena, London, England",
7 Aug 2021,Fabio Wardley,Nick Webb,Fabio Wardley,ko,1,,"Matchroom Headquarters, Brentwood, England",
27 Mar 2021,Fabio Wardley,Éric Molina,Fabio Wardley,ko,5,,"Europa Point Sports Complex , Gibraltar",
