name,pbo_appearances
Daniel Dubois,20
Moses Itauma,20
David Adeleye,19
Kieron Conway,19
Liam Wilson,19
Joseph Parker,18
Shakur Stevenson,18
Tim Tszyu,18
Amanda Serrano,17
Anthony Joshua,17
Delante Johnson,17
Fabio Wardley,17
Jared Anderson,17
Katie Taylor,17
Keyshawn Davis,17
Sam Goodman,17
Skye Nicolson,17
Bakhodir Jalolov,16
Beatriz Ferreira,16
Campbell Hatton,16
Caroline Dubois,16
Devin Haney,16
Emanuel Navarrete,16
Frazer Clarke,16
Jake Paul,16
Mikaela Mayer,16
Naoya Inoue,16
Raymond Ford,16
Steve Claggett,16
Teofimo Lopez,16
Abdullah Mason,15
Adam Azim,15
Dan Azeez,15
Diego Pacheco,15
Edgar Berlanga,15
Galal Yafai,15
Jaime Munguia,15
Joe Joyce,15
Johnny Fisher,15
Josh Kelly,15
Lawrence Okolie,15
Lindolfo Delgado,15
Lyndon Arthur,15
Michael Conlan,15
Sam Noakes,15
Saul Alvarez,15
Sean McComb,15
Sebastian Fundora,15
Tyrone McKenna,15
Alexis Rocha,14
Anthony Yarde,14
Austin Williams,14
Bruce Carrington,14
Cheavon Clarke,14
Chris Billam-Smith,14
Christian Mbilli,14
David Allen,14
Denzel Bentley,14
Efe Ajagba,14
Hamzah Sheeraz,14
Joseph Diaz,14
Joshua Buatsi,14
Karol Itauma,14
Nico Ali Walsh,14
Oleksandr Usyk,14
Reece Bellotti,14
Sunny Edwards,14
Terri Harper,14
Troy Isley,14
Troy Williamson,14
Vito Mielnicki Jr,14
Zach Parker,14
Anthony Fowler,13
Claressa Shields,13
Craig Richards,13
Dalton Smith,13
David Benavidez,13
Dennis McCann,13
Filip Hrgovic,13
Harlem Eubank,13
Jai Opetaia,13
Jaron Ennis,13
Jesse Rodriguez,13
Justis Huni,13
Mark Chamberlain,13
Maxi Hughes,13
Michael McKinson,13
Nick Ball,13
Oscar Valdez,13
Pat McCormack,13
Peter McGrail,13
Raymond Muratalla,13
Richard Riakporhe,13
Robson Conceicao,13
Ryan Garcia,13
Steven Butler,13
Tyson Fury,13
Willy Hutchinson,13
Xander Zayas,13
Zelfa Barrett,13
Zhilei Zhang,13
Adam Lopez,12
Andres Cortes,12
Aqib Fiaz,12
Arnold Barboza Jr,12
Arslanbek Makhmudov,12
Bektemir Melikuziev,12
Brandun Lee,12
Chris Colbert,12
Conor Benn,12
Eithan James,12
Ellie Scotney,12
Elvis Rodriguez,12
Gabriel Flores Jr,12
Gilberto Ramirez,12
Guido Vianello,12
Hughie Fury,12
Israil Madrimov,12
Issac Hardman,12
Jack Cullen,12
Jeamie Tshikeva,12
Joe Cordina,12
John Hedges,12
John Riel Casimero,12
Jose Pedraza,12
Junto Nakatani,12
Kazuto Ioka,12
Lauren Price,12
Lee McGregor,12
Luis Nery,12
Michel Rivera,12
Natasha Jonas,12
Otto Wallin,12
Padraig McCrory,12
Richard Torrez Jr,12
Richardson Hitchins,12
Rohan Polanco,12
Royston Barney-Smith,12
Sandy Ryan,12
Serhii Bohachuk,12
Vaughn Alexander,12
Vergil Ortiz Jr,12
Zak Chelli,12
Abraham Nova,11
Albert Bell,11
Alen Babic,11
Angelo Leo,11
Artur Beterbiev,11
Brandon Figueroa,11
Cameron Vuong,11
Chantelle Cameron,11
Dzmitry Asanau,11
Ekow Essuman,11
